Date,Close
11/14/2023 16:00:00,237.41
11/15/2023 16:00:00,242.84
11/16/2023 16:00:00,233.59
11/17/2023 16:00:00,234.3
11/20/2023 16:00:00,235.6
11/21/2023 16:00:00,241.2
11/22/2023 16:00:00,234.21
11/24/2023 13:05:00,235.45
11/27/2023 16:00:00,236.08
11/28/2023 16:00:00,246.72
11/29/2023 16:00:00,244.14
11/30/2023 16:00:00,240.08
12/1/2023 16:00:00,238.83
12/4/2023 16:00:00,235.58
12/5/2023 16:00:00,238.72
12/6/2023 16:00:00,239.37
12/7/2023 16:00:00,242.64
12/8/2023 16:00:00,243.84
12/11/2023 16:00:00,239.74
12/12/2023 16:00:00,237.01
12/13/2023 16:00:00,239.29
12/14/2023 16:00:00,251.05
12/15/2023 16:00:00,253.5
12/18/2023 16:00:00,252.08
12/19/2023 16:00:00,257.22
12/20/2023 16:00:00,247.14
12/21/2023 16:00:00,254.5
12/22/2023 16:00:00,252.54
12/26/2023 16:00:00,256.61
12/27/2023 16:00:00,261.44
12/28/2023 16:00:00,253.18
12/29/2023 16:00:00,248.48
1/2/2024 16:00:00,248.42
1/3/2024 16:00:00,238.45
1/4/2024 16:00:00,237.93
1/5/2024 16:00:00,237.49
1/8/2024 16:00:00,240.45
1/9/2024 16:00:00,234.96
1/10/2024 16:00:00,233.94
1/11/2024 16:00:00,227.22
1/12/2024 16:00:00,218.89
1/16/2024 16:00:00,219.91
1/17/2024 16:00:00,215.55
1/18/2024 16:00:00,211.88
1/19/2024 16:00:00,212.19
1/22/2024 16:00:00,208.8
1/23/2024 16:00:00,209.14
1/24/2024 16:00:00,207.83
1/25/2024 16:00:00,182.63
1/26/2024 16:00:00,183.25
1/29/2024 16:00:00,190.93
1/30/2024 16:00:00,191.59
1/31/2024 16:00:00,187.29
2/1/2024 16:00:00,188.86
2/2/2024 16:00:00,187.91
2/5/2024 16:00:00,181.06
2/6/2024 16:00:00,185.1
2/7/2024 16:00:00,187.58
2/8/2024 16:00:00,189.56
2/9/2024 16:00:00,193.57
2/12/2024 16:00:00,188.13
2/13/2024 16:00:00,184.02
2/14/2024 16:00:00,188.71
2/15/2024 16:00:00,200.45
2/16/2024 16:00:00,199.95
2/20/2024 16:00:00,193.76
2/21/2024 16:00:00,194.77
2/22/2024 16:00:00,197.41
2/23/2024 16:00:00,191.97
2/26/2024 16:00:00,199.4
2/27/2024 16:00:00,199.73
2/28/2024 16:00:00,202.04
2/29/2024 16:00:00,201.88
3/1/2024 16:00:00,202.64
3/4/2024 16:00:00,188.14
3/5/2024 16:00:00,180.74
3/6/2024 16:00:00,176.54
3/7/2024 16:00:00,178.65
3/8/2024 16:00:00,175.34
3/11/2024 16:00:00,177.77
3/12/2024 16:00:00,177.54
3/13/2024 16:00:00,169.48
3/14/2024 16:00:00,162.5
3/15/2024 16:00:00,163.57
3/18/2024 16:00:00,173.8
3/19/2024 16:00:00,171.32
3/20/2024 16:00:00,175.66
3/21/2024 16:00:00,172.82
3/22/2024 16:00:00,170.83
3/25/2024 16:00:00,172.63
3/26/2024 16:00:00,177.67
3/27/2024 16:00:00,179.83
3/28/2024 16:00:00,175.79
4/1/2024 16:00:00,175.22
4/2/2024 16:00:00,166.63
4/3/2024 16:00:00,168.38
4/4/2024 16:00:00,171.11
4/5/2024 16:00:00,164.9
4/8/2024 16:00:00,172.98
4/9/2024 16:00:00,176.88
4/10/2024 16:00:00,171.76
4/11/2024 16:00:00,174.6
4/12/2024 16:00:00,171.05
4/15/2024 16:00:00,161.48
4/16/2024 16:00:00,157.11
4/17/2024 16:00:00,155.45
4/18/2024 16:00:00,149.93
4/19/2024 16:00:00,147.05
4/22/2024 16:00:00,142.05
4/23/2024 16:00:00,144.68
4/24/2024 16:00:00,162.13
4/25/2024 16:00:00,170.18
4/26/2024 16:00:00,168.29
4/29/2024 16:00:00,194.05
4/30/2024 16:00:00,183.28
5/1/2024 16:00:00,179.99
5/2/2024 16:00:00,180.01
5/3/2024 16:00:00,181.19
5/6/2024 16:00:00,184.76
5/7/2024 16:00:00,177.81
5/8/2024 16:00:00,174.72
5/9/2024 16:00:00,171.97
5/10/2024 16:00:00,168.47
5/13/2024 16:00:00,171.89
5/14/2024 16:00:00,177.55
5/15/2024 16:00:00,173.99
5/16/2024 16:00:00,174.84
5/17/2024 16:00:00,177.46
